"","dataset.id","site.name","lat","long","depth","age.young","age.old","age","Abies","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Artemisia","Asteraceae undiff.","Betula","Carya","Corylus","Cupressaceae undiff.","Ericaceae undiff.","Fagus","Fraxinus","Juglans","Larix","Myricaceae undiff.","Ostrya/Carpinus","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Plantago","Platanus","Poaceae undiff.","Populus","Pteridium","Quercus","Rumex/Oxyria","Salix","Tilia","Tsuga","Ulmus"
"1","GS1","Brander Bog",46.951583,-90.538828,0.5,-40,23,-17,2,14,9,5,15,1,5,152,0,0,3,16,0,3,0,1,1,3,4,33,10,0,0,5,6,0,27,0,1,0,7,3
"2","GS1","Brander Bog",46.951583,-90.538828,5.5,-12,490,103,6,17,12,6,21,1,4,175,0,0,3,35,0,5,1,1,2,7,2,10,15,1,0,7,4,0,17,0,3,0,8,4
"3","GS1","Brander Bog",46.951583,-90.538828,10.5,37,760,241,3,5,16,5,25,2,4,172,1,0,2,25,0,2,0,0,3,2,6,18,2,0,1,8,1,0,19,0,1,0,7,5
"4","GS1","Brander Bog",46.951583,-90.538828,14.5,84,946,350,1,14,24,7,28,2,3,155,1,0,4,27,0,3,1,0,1,2,8,17,17,0,0,9,0,0,22,0,2,0,2,8
"5","GS1","Brander Bog",46.951583,-90.538828,16.5,117,1030,405,4,9,16,5,44,4,2,149,1,0,0,0,0,1,0,0,4,3,8,25,8,0,0,6,0,1,12,0,0,0,11,4
"6","GS1","Brander Bog",46.951583,-90.538828,20.5,172,1219,514,5,2,13,16,36,0,10,101,0,0,0,7,0,0,0,0,2,1,8,28,3,0,0,7,0,2,17,0,0,0,13,6
"7","GS1","Brander Bog",46.951583,-90.538828,25.5,250,1435,649,4,2,5,4,21,4,3,155,0,0,0,11,0,1,0,1,2,6,11,38,36,0,0,1,0,2,7,0,0,0,31,2
"8","GS1","Brander Bog",46.951583,-90.538828,30.5,329,1651,784,5,3,5,0,5,2,5,160,0,0,6,7,0,0,0,2,1,6,13,24,59,0,3,2,0,1,9,0,0,0,28,2
"9","GS1","Brander Bog",46.951583,-90.538828,35.5,407,1863,919,10,8,11,1,3,4,2,138,0,0,2,5,0,3,1,0,0,8,16,33,66,0,1,3,0,4,13,0,0,0,41,6
"10","GS1","Brander Bog",46.951583,-90.538828,40.5,494,2069,1055,4,3,7,2,4,3,3,122,0,0,0,5,0,0,0,3,3,8,11,63,49,0,0,3,0,3,8,0,0,0,33,0
"11","GS1","Brander Bog",46.951583,-90.538828,50.5,662,2489,1326,2,1,8,1,4,3,0,92,1,0,1,10,0,1,0,2,2,7,15,47,55,0,1,4,0,3,6,0,0,0,27,3
"12","GS1","Brander Bog",46.951583,-90.538828,60.5,835,2891,1595,5,1,5,1,3,0,0,96,0,0,1,1,1,0,0,3,0,4,6,36,48,0,1,1,0,0,4,0,0,0,30,1
"13","GS1","Brander Bog",46.951583,-90.538828,70.5,1007,3307,1865,3,3,7,2,1,8,2,127,1,1,1,4,0,0,2,1,0,6,12,34,56,0,1,3,0,2,15,0,0,0,50,5
"14","GS1","Brander Bog",46.951583,-90.538828,80.5,1179,3704,2135,3,1,3,1,6,2,2,97,0,1,4,10,1,1,0,1,0,9,7,29,67,0,0,0,0,0,13,0,0,0,35,5
"15","GS1","Brander Bog",46.951583,-90.538828,90.5,1355,4131,2402,6,5,7,0,1,2,3,212,0,0,5,11,0,6,2,4,1,8,11,47,152,0,0,2,0,0,23,0,0,0,61,2
"16","GS1","Brander Bog",46.951583,-90.538828,95.5,1435,4334,2535,2,2,4,1,1,5,4,98,0,0,0,5,0,1,0,0,0,1,2,18,64,0,1,0,0,0,8,0,0,0,16,2
"17","GS1","Brander Bog",46.951583,-90.538828,100.5,1516,4548,2670,2,4,8,2,6,2,1,121,0,0,1,6,0,0,1,1,0,3,13,21,51,0,1,3,1,1,12,0,0,0,18,3
"18","GS1","Brander Bog",46.951583,-90.538828,105.5,1602,4760,2807,3,3,5,0,2,1,1,133,0,1,2,1,0,0,0,6,2,1,75,29,45,0,1,0,0,0,8,0,0,1,15,2
"19","GS1","Brander Bog",46.951583,-90.538828,115.5,1807,5180,3118,7,2,7,2,0,2,0,59,1,0,0,0,0,0,0,0,0,3,0,32,182,0,0,5,0,1,15,0,0,0,14,0
"20","GS1","Brander Bog",46.951583,-90.538828,125.5,2237,5593,3537,3,1,7,0,2,2,5,60,0,0,1,0,0,1,1,1,1,2,2,27,150,0,0,0,0,0,8,0,0,0,12,4
"21","GS1","Brander Bog",46.951583,-90.538828,135.5,2693,6009,3975,0,4,6,1,1,0,1,30,0,0,2,1,0,0,0,1,0,1,1,26,236,0,0,0,0,0,15,0,0,0,0,1
"22","GS1","Brander Bog",46.951583,-90.538828,145.5,3150,6439,4418,2,3,10,1,2,6,3,65,0,1,0,7,0,0,0,0,0,5,3,79,196,0,0,2,0,1,16,0,0,0,2,3
"23","GS1","Brander Bog",46.951583,-90.538828,155.5,3627,6867,4866,6,7,42,1,5,9,3,59,1,4,5,18,0,6,1,1,0,7,3,30,111,0,0,1,2,2,34,0,1,0,1,2
"24","GS1","Brander Bog",46.951583,-90.538828,165.5,4108,7336,5316,1,5,9,2,0,1,2,40,0,0,0,4,0,2,0,0,0,0,1,23,153,0,0,1,0,0,20,0,1,0,0,1
"25","GS1","Brander Bog",46.951583,-90.538828,170.5,4353,7563,5543,5,3,19,1,5,3,0,158,0,0,0,9,1,0,0,0,0,3,53,93,232,0,0,1,0,2,15,0,0,0,2,6
"26","GS1","Brander Bog",46.951583,-90.538828,201.5,5956,9041,6924,5,1,22,1,5,5,4,68,0,2,0,21,0,3,1,0,0,5,5,124,156,0,0,8,0,2,22,0,3,0,1,3
"27","GS1","Brander Bog",46.951583,-90.538828,211.5,6552,9534,7366,3,8,20,0,5,4,2,75,1,1,0,41,0,0,0,1,0,10,2,66,187,0,0,11,0,1,28,1,0,0,0,6
"28","GS1","Brander Bog",46.951583,-90.538828,221.5,7230,9986,7794,5,0,20,9,6,8,5,51,0,0,1,1,0,1,0,0,0,3,15,150,140,0,0,4,1,0,5,0,5,0,0,16
"29","GS1","Brander Bog",46.951583,-90.538828,231.5,7864,10456,8230,16,1,38,4,13,13,12,36,2,1,0,17,0,1,0,0,0,6,88,378,58,0,0,10,0,0,6,0,32,1,0,28
"30","GS1","Brander Bog",46.951583,-90.538828,234.5,7957,10584,8364,8,2,23,5,4,5,7,25,1,0,1,14,0,0,0,2,0,2,57,175,30,0,1,2,0,10,4,0,4,0,0,8
