"","dataset.id","site.name","lat","long","depth","age.young","age.old","age","Abies","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae subf. Asteroideae","Asteraceae subf. Cichorioideae","Betula","Carya","Castanea","Corylus","Cupressaceae undiff.","Epilobium","Ericaceae undiff.","Fagus","Fraxinus","Hamamelis","Ilex","Juglans","Lycopodiaceae undiff.","Myrica","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Poaceae undiff.","Polypodiophyta undiff.","Populus","Pteridium","Quercus","Rosaceae undiff.","Rumex/Oxyria","Salix","Thalictrum","Tilia","Tsuga","Ulmus","Viburnum"
"1","GS2","Cadillac Hollow III",44.348333,-68.226944,4,-45,105,10,5,15,13,0,3,0,0,3,0,114,0,0,0,0,0,1,2,1,0,3,0,1,0,50.5,8,39,7,23,0,0,11,6,11,0,3,0,5,0,1
"2","GS2","Cadillac Hollow III",44.348333,-68.226944,8,-11,166,75,3.5,16,19,1,4,2,0,1,0,186,1,0,0,1,0,1,0,3,0,0,0,2,0,48.5,12,16,2,33,2,2,9,6,0,0,5,0,4,3,2
"3","GS2","Cadillac Hollow III",44.348333,-68.226944,10,1,194,107,4.5,22,19,0,3,1,0,1,2,200,0,0,0,0,0,1,4,0,0,2,0,5,1,36.5,15.5,18,5,60,0,3,6,11,2,1,7,0,18,0,1
"4","GS2","Cadillac Hollow III",44.348333,-68.226944,12,53,202,136,5,23,29,2,12,1,1,3,0,189,0,0,0,3,0,1,2,1,0,0,0,3,0,39.5,0,30.5,7,50,0,3,10,5,2,0,2,0,10,0,0
"5","GS2","Cadillac Hollow III",44.348333,-68.226944,13.5,76,211,158,6.5,27,17,0,13,0,0,4,1,200,1,0,0,0,0,1,0,2,0,3,0,2,0,59.5,7,18.5,3,44,2,4,5,10,4,0,4,0,8,2,3
"6","GS2","Cadillac Hollow III",44.348333,-68.226944,15,92,226,182,3.5,17,18,0,5,0,0,1,1,162,1,2,1,0,0,0,1,1,0,1,0,3,0,37.5,8,13,7,32,0,4,5,8,1,1,7,1,6,1,2
"7","GS2","Cadillac Hollow III",44.348333,-68.226944,16,129,278,210,9.5,5,19,0,0,2,0,2,0,189,0,0,0,0,0,0,4,0,0,1,0,2,0,65.5,17.5,35,3,67,0,4,9,2,0,0,43,0,19,0,0
"8","GS2","Cadillac Hollow III",44.348333,-68.226944,17,153,364,235,9,18,12,0,0,2,0,5,4,193,0,1,0,1,0,0,3,3,0,0,0,1,0,68.5,9,49.5,1,56,0,1,6,3,0,0,12,0,19,1,1
"9","GS2","Cadillac Hollow III",44.348333,-68.226944,18,168,456,260,12.5,6,11,0,1,1,0,7,0,215,0,0,0,0,0,1,9,0,0,1,0,2,1,53,15.5,15,5,38,0,1,10,1,0,0,11,0,37,2,1
"10","GS2","Cadillac Hollow III",44.348333,-68.226944,19,179,550,285,6.5,6,6,0,0,1,0,57,0,217,0,1,0,0,0,1,4,0,0,0,0,4,0,34,0,22.5,0,30,0,1,3,5,0,0,3,0,22,1,1
"11","GS2","Cadillac Hollow III",44.348333,-68.226944,20,188,644,311,18.5,12,0,0,0,1,0,70,0,304,0,1,8,0,0,1,2,0,0,0,0,1,0,53,12,40,1,42,0,0,10,7,0,1,8,0,48,1,0
"12","GS2","Cadillac Hollow III",44.348333,-68.226944,22,236,716,392,9.5,8,12,0,0,0,0,20,1,209,1,0,0,0,0,1,8,0,0,1,0,2,1,57.5,15.5,18,10,38,0,2,4,2,0,0,14,0,22,1,4
"13","GS2","Cadillac Hollow III",44.348333,-68.226944,25,270,910,501,12.5,13,10,0,2,0,0,2,0,278,0,2,0,0,0,0,4,0,0,0,0,0,0,26,7,32,2,15,0,1,19,7,0,0,7,1,24,1,0
"14","GS2","Cadillac Hollow III",44.348333,-68.226944,30,384,1119,710,12.5,10,17,0,0,0,0,5,0,241,1,1,1,0,0,0,2,1,0,0,0,5,0,15,12,18,1,37,0,0,7,12,0,0,7,0,18,1,0
"15","GS2","Cadillac Hollow III",44.348333,-68.226944,35,533,1289,921,8.5,3,23,0,1,0,1,3,0,220,0,0,1,3,0,0,3,0,0,1,0,3,0,22.5,10.5,26,4,41,0,1,5,10,0,2,4,0,15,1,0
"16","GS2","Cadillac Hollow III",44.348333,-68.226944,40,735,1439,1133,1.5,5,10,0,1,0,0,6,0,215,0,0,0,0,0,0,3,0,1,2,0,1,0,20,11.5,17,2,38,0,1,8,6,0,2,10,0,20,0,2
