"","dataset.id","site.name","lat","long","depth","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae subf. Asteroideae","Asteraceae subf. Cichorioideae","Betula","Carya","Caryophyllaceae undiff.","Celtis","Cephalanthus","Cornus","Corylus","Cyperaceae","Ericaceae undiff.","Fagus","Fraxinus","Galium","Ilex","Juglans","Juniperus","Larix","Liquidambar","Morus","Nyssa","Osmundaceae.undiff.","Ostrya/Carpinus","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undiff.","Plantago","Platanus","Poaceae undiff.","Polypodiaceae undiff.","Pteridium","Quercus","Ranunculaceae undiff.","Rhus","Rosaceae undiff.","Rumex/Oxyria","Salix","Sarcobatus","Thalictrum","Tilia","Tsuga","Ulmus","Urticaceae"
"1","15242","Cowles Bog",41.6355,-87.0945,5,20,1,8,60,0,2,0,0,81,3,0,2,0,2,0,9,0,0,2,0,4,2,1,1,0,1,2,42,2,0,0,0,5,2,0,13,8,2,89,0,0,1,0,45,1,0,0,0,9,0
"2","15242","Cowles Bog",41.6355,-87.0945,10,16,5,4,70,0,0,9,0,64,1,0,3,2,0,0,16,0,2,9,0,1,2,2,2,0,0,0,132,0,0,6,1,9,0,0,14,32,0,102,1,1,0,0,64,0,0,1,0,6,0
"3","15242","Cowles Bog",41.6355,-87.0945,15,9,9,3,82,0,0,16,0,39,4,0,1,2,0,0,14,0,0,3,0,1,0,2,15,0,0,0,173,0,0,4,10,56,0,0,9,62,0,61,0,0,0,2,5,0,0,0,0,9,0
"4","15242","Cowles Bog",41.6355,-87.0945,20,1,14,1,30,0,2,2,1,7,6,0,0,0,0,0,4,0,1,1,0,0,2,0,23,0,1,0,180,0,0,0,0,31,0,1,7,21,3,24,0,0,0,0,1,0,0,1,1,5,0
"5","15242","Cowles Bog",41.6355,-87.0945,25,2,7,2,19,0,1,3,0,6,6,0,0,1,0,1,6,0,3,1,0,1,0,0,32,0,0,1,323,1,0,8,17,72,0,3,10,59,2,99,0,0,0,0,1,0,0,0,0,5,0
"6","15242","Cowles Bog",41.6355,-87.0945,35,24,11,1,14,0,0,1,0,2,12,0,0,0,0,0,6,0,4,2,0,0,1,0,23,1,0,1,229,4,1,1,33,115,0,4,10,37,2,64,0,0,0,0,0,0,0,0,1,15,2
"7","15242","Cowles Bog",41.6355,-87.0945,52,3,1,1,4,0,0,1,0,7,2,0,0,1,0,0,2,0,3,0,0,5,0,0,5,0,0,0,106,3,0,3,8,16,0,2,4,46,1,27,0,0,1,0,0,0,0,0,0,3,0
"8","15242","Cowles Bog",41.6355,-87.0945,65,2,2,2,8,0,0,2,0,10,9,0,0,0,0,1,18,0,5,10,0,30,4,0,22,0,0,1,231,4,0,11,25,27,0,7,113,36,5,136,0,0,6,0,1,0,0,0,1,9,0
"9","15242","Cowles Bog",41.6355,-87.0945,95,4,1,0,3,0,2,3,0,8,7,0,0,0,0,0,29,1,5,6,1,1,1,0,14,0,1,0,26,1,0,2,6,32,0,1,344,185,0,99,0,0,0,0,0,0,0,0,1,5,0
"10","15242","Cowles Bog",41.6355,-87.0945,135,9,3,0,9,1,1,3,0,6,4,2,2,0,0,1,32,0,20,9,0,0,6,0,3,2,0,1,5,3,0,0,9,28,0,5,108,12,2,177,0,0,0,0,1,0,0,0,0,9,0
"11","15242","Cowles Bog",41.6355,-87.0945,160,8,0,1,8,0,2,6,0,7,21,0,1,0,0,0,15,0,12,6,0,0,5,0,0,2,0,0,0,5,0,4,7,18,0,7,53,7,1,187,0,0,0,0,1,0,3,0,1,9,0
"12","15242","Cowles Bog",41.6355,-87.0945,190,5,2,4,10,0,4,1,0,3,13,0,1,0,0,1,15,0,15,13,0,0,1,0,0,0,0,0,2,8,0,1,7,15,0,8,91,6,0,182,0,0,0,0,2,0,1,1,0,21,0
"13","15242","Cowles Bog",41.6355,-87.0945,220,3,2,3,19,0,1,0,0,4,13,0,1,0,0,3,4,0,5,7,0,0,1,0,0,0,1,0,2,4,0,3,7,37,0,8,81,7,0,178,0,0,0,0,1,0,2,4,0,13,0
"14","15242","Cowles Bog",41.6355,-87.0945,240,2,0,1,11,1,1,5,0,7,11,0,0,0,0,1,6,0,6,7,0,0,5,0,0,0,0,1,1,4,0,2,3,48,0,3,70,7,2,174,0,0,0,0,0,0,0,1,0,17,0
