"","dataset.id","site.name","lat","long","depth","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Artemisia","Asteraceae undiff.","Betula","Carya","Celtis","Corylus","Cupressaceae undiff.","Ericaceae undiff.","Fagus","Fraxinus","Juglans","Larix","Myricaceae undiff.","Ostrya/Carpinus","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undiff.","Plantago","Platanus","Poaceae undiff.","Populus","Quercus","Rosaceae undiff.","Rumex/Oxyria","Salix","Tilia","Tsuga","Ulmus"
"1","GS4","Devils Island Bog",47.072097,-90.727981,0,1,2,6,18,6,3,27,0,0,0,1,14,1,3,1,0,1,0,2,13,36,79,2,0,7,0,26,0,0,0,0,0,1
"2","GS4","Devils Island Bog",47.072097,-90.727981,10,2,4,3,6,4,4,199,0,1,0,4,11,0,0,0,0,0,0,6,4,6,19,0,0,5,0,14,0,0,1,0,2,0
"3","GS4","Devils Island Bog",47.072097,-90.727981,32.5,6,6,2,11,3,4,136,0,0,2,2,22,0,1,0,0,0,0,7,11,20,47,1,2,3,2,15,0,1,6,0,0,2
"4","GS4","Devils Island Bog",47.072097,-90.727981,42.5,0.5,25.5,0.5,3.5,3.5,0,179,1,0,2,0.5,0,0,0.5,0,0,0,0.5,29,0,14,94,0.5,0,2.5,0,4,0,0,0,0,2,0.5
"5","GS4","Devils Island Bog",47.072097,-90.727981,52.5,1,32,0,0,1,3,176,0,0,0,4,2,0,0,0,0,0,1,15,1,14,92,0,0,2,0,2,0,0,0,0,4,0
"6","GS4","Devils Island Bog",47.072097,-90.727981,62.5,0,22,0,0,5,1,172,0,0,0,0,0,0,0,0,1,0,0,16,1,15,108,0,0,1,0,1,0,0,0,0,5,0
"7","GS4","Devils Island Bog",47.072097,-90.727981,72.5,1,10,0,1,0,1,194,0,0,1,1,2,0,0,0,0,0,0,5,0,14,98,0,0,3,0,5,0,0,0,0,6,0
"8","GS4","Devils Island Bog",47.072097,-90.727981,82.5,2,22,1,3,5,2,213,0,0,1,1,1,0,0,0,0,0,1,6,0,8,116,0,0,2,0,4,0,0,0,0,1,0
"9","GS4","Devils Island Bog",47.072097,-90.727981,92.5,1,70,0,1,1,0,208,0,0,1,0,1,0,0,0,1,0,3,10,0,19,113,0,0,11,0,9,0,0,0,0,0,1
"10","GS4","Devils Island Bog",47.072097,-90.727981,97.5,4,240,3,3,6,1,124,0,0,0,1,0,0,0,0,0,0,1,5,10,51,192,0,0,41,1,7,6,0,38,0,0,3
"11","GS4","Devils Island Bog",47.072097,-90.727981,102.5,1,15,2,7,6,2,86,0,0,0,3,0,0,2,0,0,0,1,21,3,8,154,0,0,13,0,5,0,0,0,1,1,1
"12","GS4","Devils Island Bog",47.072097,-90.727981,112.5,1,11,0,1,1,1,51,0,0,0,1,0,0,1,0,0,0,0,14,1,5,58,0,0,7,0,4,0,0,0,0,0,0
"13","GS4","Devils Island Bog",47.072097,-90.727981,122.5,0,11,0,0,0,1,55,0,0,0,0,1,0,0,0,0,0,0,6,0,5,44,0,0,3,0,1,0,0,1,0,0,1
