"","dataset.id","site.name","lat","long","depth","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae subf. Asteroideae","Betula","Botrychium","Campanula","Carya","Caryophyllaceae undiff.","Castanea","Cephalanthus","Cornus","Corylus","Cyperaceae","Dryopteris","Epilobium","Ericaceae undiff.","Fagus","Fraxinus","Ilex","Juglans","Liriodendron","Lycopodiaceae undiff.","Magnolia","Nyssa","Osmundaceae.undiff.","Ostrya/Carpinus","Picea","Pinus undiff.","Platanus","Poaceae undiff.","Polemonium","Polygonum","Pteridium","Quercus","Ranunculaceae undiff.","Salix","Sanguisorba","Selaginella","Thalictrum","Tilia","Tsuga","Ulmus","Urticaceae","Viburnum"
"1","999","Hack Pond",37.984722,-78.997222,30,4,8,0,2,0,0,2,11,0,0,13,0,3,0,0,1,0,0,0,3,1,2,1,1,0,0,0,1,3,0,1,105,0,1,0,0,0,137,0,0,0,0,0,0,1,2,0,0
"2","999","Hack Pond",37.984722,-78.997222,35,1,10,0,0,0,0,1,11,0,0,13,0,7,0,0,0,7,0,0,0,0,1,0,2,0,0,1,3,1,0,0,107,0,1,0,0,1,135,0,0,0,0,0,2,1,0,0,0
"3","999","Hack Pond",37.984722,-78.997222,40,0,17,0,0,0,0,1,7,0,0,19,0,4,0,1,1,2,0,0,0,2,2,0,3,0,0,0,1,0,0,0,88,0,0,0,0,0,153,0,0,0,0,0,0,1,0,0,0
"4","999","Hack Pond",37.984722,-78.997222,45,0,15,0,1,0,0,1,2,0,0,11,0,5,0,0,0,4,0,0,1,0,0,0,2,0,0,0,0,5,0,0,88,0,2,0,0,0,170,0,1,0,0,0,0,0,0,0,0
"5","999","Hack Pond",37.984722,-78.997222,50,0,19,0,0,0,0,2,6,0,0,7,0,4,1,0,1,3,0,0,0,1,0,0,2,0,0,0,3,6,0,0,85,0,3,0,0,0,165,0,1,0,0,0,0,0,0,0,0
"6","999","Hack Pond",37.984722,-78.997222,55,1,20,0,2,0,0,0,9,0,0,19,0,2,1,0,0,2,1,0,0,1,1,0,1,0,0,1,3,5,0,0,79,0,2,0,0,0,158,0,0,0,0,0,0,0,1,0,0
"7","999","Hack Pond",37.984722,-78.997222,60,1,15,0,1,0,0,0,9,0,0,16,0,7,0,0,1,1,0,0,0,2,0,0,1,0,0,0,2,1,0,2,96,0,1,0,0,1,145,0,0,0,0,0,0,2,0,1,0
"8","999","Hack Pond",37.984722,-78.997222,65,39,23,0,1,0,0,2,4,0,0,15,0,8,3,0,2,3,0,0,0,1,1,0,0,0,0,1,2,8,0,1,74,0,2,0,0,0,157,0,0,0,0,0,0,0,0,0,1
"9","999","Hack Pond",37.984722,-78.997222,70,0,19,0,3,0,0,0,12,0,0,12,0,2,1,0,1,2,0,0,0,1,0,0,2,1,0,0,2,3,0,1,75,0,2,0,1,0,159,0,0,0,0,0,0,3,3,0,0
"10","999","Hack Pond",37.984722,-78.997222,75,0,10,1,3,0,0,0,4,0,0,30,0,2,0,0,0,4,0,0,0,1,0,0,4,0,0,0,2,4,0,0,61,0,4,0,0,0,171,0,0,0,0,0,1,4,1,0,0
"11","999","Hack Pond",37.984722,-78.997222,80,0,14,0,1,0,0,0,2,0,0,10,0,3,1,0,2,7,0,0,0,2,0,0,2,0,0,1,0,3,0,0,70,0,1,0,0,0,187,0,0,0,0,0,0,4,1,0,0
"12","999","Hack Pond",37.984722,-78.997222,85,0,11,0,2,0,0,2,4,0,0,14,0,6,3,0,3,3,1,0,0,3,1,0,3,0,0,0,1,1,0,1,26,0,6,0,0,0,212,0,0,0,0,0,0,4,0,0,0
"13","999","Hack Pond",37.984722,-78.997222,90,0,18,0,2,0,0,1,5,0,0,12,0,8,9,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,27,0,3,0,0,0,214,0,2,0,0,0,0,2,0,0,0
"14","999","Hack Pond",37.984722,-78.997222,100,0,20,0,1,0,0,3,2,0,0,18,0,7,16,0,3,0,0,0,0,1,0,0,1,0,1,0,2,3,0,3,26,0,0,0,0,0,206,0,0,0,0,0,0,6,0,0,0
"15","999","Hack Pond",37.984722,-78.997222,105,0,12,0,3,0,0,5,2,0,0,6,0,2,8,0,1,8,0,0,0,1,1,0,1,0,0,0,5,1,0,5,35,0,8,0,0,0,203,0,0,0,0,0,0,8,2,0,0
"16","999","Hack Pond",37.984722,-78.997222,110,1,2,0,3,0,0,18,4,0,0,7,0,3,2,0,4,9,3,0,0,2,0,0,0,0,1,0,0,0,1,16,34,0,11,0,1,2,178,0,1,0,0,0,1,11,2,0,0
"17","999","Hack Pond",37.984722,-78.997222,115,2,0,1,4,0,0,13,2,1,0,4,0,2,5,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,23,46,0,8,0,0,0,196,0,0,1,0,0,0,5,2,0,0
"18","999","Hack Pond",37.984722,-78.997222,120,0,2,0,0,0,0,11,3,0,0,5,0,6,1,0,6,2,1,0,0,6,0,0,1,0,0,0,0,1,0,36,42,0,3,0,0,2,163,0,0,0,0,0,0,14,1,0,0
"19","999","Hack Pond",37.984722,-78.997222,125,4,10,0,0,1,0,6,10,5,0,3,0,1,3,0,3,0,1,0,0,0,0,0,1,0,7,0,0,0,0,39,67,0,0,0,0,4,149,0,0,0,0,0,0,6,0,0,0
"20","999","Hack Pond",37.984722,-78.997222,130,0,2,0,0,0,0,0,7,1,0,7,0,0,4,0,2,4,0,0,2,0,0,0,2,0,0,0,0,6,0,38,66,0,2,0,1,0,155,0,0,0,0,0,0,12,2,0,0
"21","999","Hack Pond",37.984722,-78.997222,135,1,18,0,0,0,0,13,1,2,0,0,0,0,1,1,13,3,14,0,1,0,0,0,0,0,1,0,0,2,0,57,167,0,0,0,0,2,23,0,0,0,0,0,0,3,0,0,0
"22","999","Hack Pond",37.984722,-78.997222,140,0,8,0,0,2,0,16,5,1,0,0,0,0,0,0,9,11,1,0,1,1,0,0,0,0,1,0,0,0,0,68,162,0,2,0,0,0,22,0,2,0,0,0,0,0,0,0,0
"23","999","Hack Pond",37.984722,-78.997222,145,1,11,1,1,0,0,10,11,0,0,0,0,0,0,0,11,5,0,0,3,0,0,0,0,0,0,0,0,0,0,56,155,0,5,0,0,1,35,1,0,0,0,0,0,0,0,0,0
"24","999","Hack Pond",37.984722,-78.997222,150,0,5,0,0,1,0,13,11,0,0,2,0,0,0,0,2,5,0,0,0,0,1,0,0,0,1,0,0,0,2,89,166,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0
"25","999","Hack Pond",37.984722,-78.997222,155,0,6,0,0,1,0,13,1,1,1,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,88,178,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0
"26","999","Hack Pond",37.984722,-78.997222,160,0,9,0,0,2,1,15,1,0,0,1,1,0,1,0,3,4,0,0,0,0,0,0,0,0,2,0,0,1,7,92,147,0,2,0,0,0,12,0,0,1,0,1,0,0,0,1,0
"27","999","Hack Pond",37.984722,-78.997222,165,0,7,0,0,1,0,15,6,0,0,0,0,0,1,0,7,6,0,1,0,0,0,0,0,0,1,0,0,0,2,82,168,0,2,0,0,0,6,0,0,2,0,0,0,0,0,0,0
"28","999","Hack Pond",37.984722,-78.997222,170,0,3,0,0,0,0,11,4,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,1,0,0,0,1,116,157,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0
"29","999","Hack Pond",37.984722,-78.997222,175,1,10,0,0,1,0,18,17,0,0,2,0,0,0,0,6,10,0,0,1,0,0,0,0,0,1,0,0,0,2,70,147,0,12,0,0,0,11,0,0,0,0,1,0,0,0,0,0
"30","999","Hack Pond",37.984722,-78.997222,180,0,3,0,0,0,0,20,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,85,175,2,5,0,0,0,2,0,0,5,0,0,0,0,0,0,0
"31","999","Hack Pond",37.984722,-78.997222,185,0,4,0,0,3,4,17,8,0,0,1,0,0,2,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,76,171,0,6,0,0,0,3,1,0,5,0,0,0,0,0,0,0
"32","999","Hack Pond",37.984722,-78.997222,190,0,8,1,0,0,0,21,5,0,0,0,0,0,3,1,1,14,0,0,0,0,0,0,0,0,2,0,0,0,1,117,128,1,3,0,0,0,5,1,0,6,1,0,0,0,0,0,0
"33","999","Hack Pond",37.984722,-78.997222,195,1,4,1,0,2,0,16,6,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,101,148,0,3,0,0,0,3,0,0,9,1,0,0,0,0,0,0
"34","999","Hack Pond",37.984722,-78.997222,200,0,1,0,0,0,2,15,2,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,116,147,0,6,0,0,0,1,1,1,6,0,0,0,0,0,0,0
"35","999","Hack Pond",37.984722,-78.997222,205,0,1,0,0,1,0,17,2,0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,98,163,0,1,0,0,0,2,0,0,7,0,0,0,0,0,0,0
"36","999","Hack Pond",37.984722,-78.997222,210,0,0,0,0,2,0,22,5,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,114,137,0,2,1,0,0,1,0,0,15,0,0,0,0,0,0,0
