"","dataset.id","site.name","lat","long","depth","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Apiaceae","Araliaceae","Artemisia","Asteraceae subf. Asteroideae","Asteraceae subf. Cichorioideae","Athyrium","Betula","Brassicaceae","Carya","Caryophyllaceae undiff.","Castanea","Ceanothus/Rhamnus","Cephalanthus","Cistaceae undiff.","Cladium","Clethra","Coniferae undiff.","Cornus","Corylus","Cupressaceae undiff.","Cyperaceae","Cystopteris","Dryopteris","Ericaceae undiff.","Fabaceae undiff.","Fagus","Fraxinus","Gentianaceae undiff.","Humulus/Cannabis","Huperzia","Hypericum","Ilex","Impatiens","Iridaceae undiff.","Iva","Juglans","Lamiaceae undiff.","Larix","Liquidambar","Lycopodiaceae undiff.","Moraceae undiff.","Myrica","Nyssa","Ophioglossum","Osmundaceae.undiff.","Ostrya/Carpinus","Oxalidaceae","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undiff.","Plantago","Platanus","Plumbaginaceae","Poaceae undiff.","Polygonaceae undiff.","Polypodium","Populus","Potentilla","Primula","Pteridium","Quercus","Ranunculus","Rhus","Rosaceae undiff.","Rubiaceae undiff.","Rubus","Rumex/Oxyria","Salix","Sambucus","Saxifragaceae undiff.","Secale","Solanaceae undiff.","Thalictrum","Tilia","Trifolium","Tsuga","Ulmus","Urticaceae","Viburnum","Vitis","Zea"
"1","15003","Icehouse Pond",41.797995,-69.960575,0,4,4,1,40,1,4,1,9,1,0,29,1,3,0,3,1,3,0,0,3,0,0,3,55,11,0,12,3,1,1,2,0,0,1,0,16,1,0,1,0,0,0,0,1,0,36,17,0,11,1,0,2,12,6,211,64,1,0,83,0,0,9,0,0,4,81,0,1,7,1,0,6,0,0,0,0,0,0,0,0,1,0,0,3,2,0
"2","15003","Icehouse Pond",41.797995,-69.960575,8,3,1,1,38,3,0,0,7,0,0,32,0,3,0,1,0,0,1,0,0,1,1,6,34,12,0,11,1,0,5,1,1,0,1,0,8,0,0,0,2,0,0,0,0,1,44,24,0,12,0,1,2,14,3,203,59,0,0,61,0,0,1,0,0,1,77,0,1,9,0,0,24,3,0,0,0,0,0,0,0,9,1,0,2,0,0
"3","15003","Icehouse Pond",41.797995,-69.960575,16,11,8,0,63,2,0,1,21,0,0,34,0,8,1,4,2,1,1,0,12,0,1,5,3,33,0,37,4,3,13,0,0,0,1,4,29,0,1,0,1,0,0,0,0,2,74,56,0,33,1,0,5,1,4,105,35,2,0,95,0,0,4,0,0,8,114,0,4,5,0,0,80,0,0,1,3,0,0,1,0,2,4,0,1,0,1
"4","15003","Icehouse Pond",41.797995,-69.960575,24,7,2,1,36,0,0,0,4,0,0,32,0,6,0,0,0,2,0,0,12,1,0,5,11,14,0,34,6,2,14,2,0,0,0,1,35,0,0,0,0,0,0,0,0,0,52,55,0,36,5,0,3,4,4,93,32,0,0,46,0,0,3,0,0,4,133,0,3,4,0,0,38,0,1,0,3,1,0,0,0,6,3,0,0,0,2
"5","15003","Icehouse Pond",41.797995,-69.960575,32,8,8,0,48,2,0,0,5,0,0,27,0,6,0,2,0,1,1,0,14,0,0,5,6,19,0,63,10,3,15,1,1,0,2,7,21,0,0,0,0,0,0,0,1,0,71,92,0,46,1,0,3,1,3,93,21,1,0,85,0,1,4,0,0,12,137,0,3,6,0,0,78,1,0,1,4,0,0,1,0,8,6,0,0,0,3
"6","15003","Icehouse Pond",41.797995,-69.960575,40,11,3,0,26,0,0,1,8,0,0,37,0,11,0,1,1,0,0,0,14,0,0,13,4,16,0,41,5,3,11,2,0,0,0,1,24,0,1,0,0,0,0,0,0,1,78,76,0,61,2,0,1,0,0,91,23,0,0,43,0,0,1,0,2,15,113,0,1,4,1,0,36,0,0,0,2,1,0,0,0,7,2,0,0,1,1
"7","15003","Icehouse Pond",41.797995,-69.960575,48,9,3,0,10,0,0,0,5,0,0,17,0,4,0,0,0,2,0,0,10,1,0,8,2,16,0,54,11,2,15,2,0,1,0,0,22,0,0,0,0,0,0,0,1,0,83,64,0,51,4,0,2,4,4,80,8,0,0,29,0,0,0,0,0,10,134,0,2,7,0,0,32,0,0,0,3,1,1,0,0,9,3,0,0,3,0
"8","15003","Icehouse Pond",41.797995,-69.960575,56,10,6,1,6,0,0,0,2,0,0,20,0,4,0,2,1,1,0,0,17,0,0,8,2,5,0,33,10,0,5,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,88,68,0,19,0,0,2,7,11,85,19,2,0,33,0,0,3,0,0,7,124,0,0,6,0,0,36,0,0,0,2,2,1,0,0,10,1,0,1,1,1
"9","15003","Icehouse Pond",41.797995,-69.960575,64,10,3,0,6,0,1,1,5,0,0,22,0,5,0,0,1,0,0,0,12,0,0,4,5,4,0,51,5,6,20,1,0,0,0,0,32,0,1,1,0,0,0,0,0,0,89,49,0,38,0,0,0,4,5,91,8,1,0,17,0,0,0,0,0,12,150,0,3,6,0,1,37,0,0,0,1,1,0,0,3,8,4,0,1,0,0
"10","15003","Icehouse Pond",41.797995,-69.960575,72,7,2,1,7,0,0,0,5,0,0,15,1,2,0,0,0,1,0,0,8,0,0,0,2,3,0,42,7,6,10,1,0,0,0,0,35,0,0,0,0,0,0,0,0,0,90,71,0,41,1,0,1,1,1,80,18,0,0,5,0,0,4,0,0,12,136,0,1,5,0,0,31,0,0,0,0,0,1,0,0,12,0,0,0,0,0
