"","dataset.id","site.name","lat","long","depth","age.young","age.old","age","Abies","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Apiaceae","Asteraceae subf. Asteroideae","Asteraceae subf. Cichorioideae","Betula","Brassicaceae","Cannabaceae undiff.","Carya","Castanea","Ceanothus/Rhamnus","Cornus","Corylus","Epilobium","Ericaceae undiff.","Fagus","Fraxinus","Hypericum","Ilex","Juniperus","Larix","Lycopodiaceae undiff.","Osmundaceae.undiff.","Ostrya/Carpinus","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undiff.","Poaceae undiff.","Polypodiaceae undiff.","Populus","Pteridium","Quercus","Rosaceae undiff.","Rumex/Oxyria","Salix","Saxifraga","Tilia","Tsuga","Ulmus","Viburnum"
"1","14680","Isle au Haut South Hollow",44.031825,-68.630365,8,-14,173,62,3,53,6,0,7,0,0,0,36,0,0,0,0,0,0,0,0,2,0,1,0,4,0,1,1,0,0,134.5,78,7,24,1,0,0,0,12,2,0,0,0,0,5,1,1
"2","14680","Isle au Haut South Hollow",44.031825,-68.630365,10,-5,214,91,6,6,176,1,28,0,9,2,387,0,0,1,1,0,0,0,0,5,4,7,28,2,0,0,4,0,3,70.5,22.5,47,25.5,14,1,9,2,4,11,0,6,0,1,9,1,4
"3","14680","Isle au Haut South Hollow",44.031825,-68.630365,12,27,232,119,3,11,31,0,13,0,3,0,62,0,0,0,0,0,0,0,0,0,1,0,0,11,0,2,0,1,3,58,34.5,32,31.5,3,2,0,0,8,0,0,0,1,0,1,1,7
"4","14680","Isle au Haut South Hollow",44.031825,-68.630365,14,45,259,148,1,4,54,0,14,0,4,0,122,0,0,0,0,0,0,1,0,1,1,0,0,18,0,0,0,0,1,31,20,25,27,0,6,0,0,6,2,1,1,0,0,0,2,9
"5","14680","Isle au Haut South Hollow",44.031825,-68.630365,15,52,278,162,2.5,5,128,0,18,0,17,1,179,0,0,0,1,0,0,3,3,1,0,1,1,17,1,2,2,2,0,39.5,12.5,18,20.5,4,2,0,4,8,8,0,0,0,0,2,1,12
"6","14680","Isle au Haut South Hollow",44.031825,-68.630365,16,81,286,176,1,5,81,0,11,1,9,0,99,0,0,0,0,0,0,0,0,1,1,3,0,9,1,3,1,1,2,20.5,9.5,26.5,17,9,9,0,0,12,8,2,4,0,0,1,0,7
"7","14680","Isle au Haut South Hollow",44.031825,-68.630365,17,104,297,190,3,4,150,0,12,0,33,0,128,13,0,0,1,0,0,0,0,1,2,0,0,3,0,0,2,3,1,21.5,14.5,22,21.5,12,10,0,0,12,16,0,1,0,0,0,0,10
"8","14680","Isle au Haut South Hollow",44.031825,-68.630365,18,121,310,205,0,4,361,0,10,0,65,1,66,0,0,0,1,0,0,0,2,0,4,1,0,1,0,1,0,1,5,29,13.5,13.5,15,6,11,0,0,7,8,0,2,0,0,2,1,7
"9","14680","Isle au Haut South Hollow",44.031825,-68.630365,19,133,327,221,1,3,0,0,5,0,47,0,42,0,0,0,1,0,1,0,4,0,1,0,0,0,0,0,1,1,0,24.5,14.5,10.5,17.5,2,4,0,0,4,1,2,2,0,0,1,0,4
"10","14680","Isle au Haut South Hollow",44.031825,-68.630365,20,143,350,236,7,9,12,0,0,0,5,0,68,0,2,0,1,0,0,0,0,5,15,1,0,4,0,0,0,0,2,176,30,65,25,3,0,0,2,15,0,0,0,0,0,13,2,40
