"","dataset.id","site.name","lat","long","depth","age.young","age.old","age","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Artemisia","Asteraceae subf. Asteroideae","Asteraceae subf. Cichorioideae","Betula","Brassicaceae","Carya","Celtis","Cephalanthus","Cerealia","Corylus","Ephedra","Fabaceae undiff.","Fagus","Fraxinus","Humulus/Cannabis","Huperzia","Juglans","Juniperus","Liquidambar","Lycopodiaceae undiff.","Nyssa","Osmundaceae.undiff.","Ostrya/Carpinus","Persicaria","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undiff.","Plantago","Platanus","Poaceae undiff.","Polypodiaceae undiff.","Populus","Pteridium","Quercus","Rumex/Oxyria","Salix","Sarcobatus","Tilia","Tsuga","Ulmus"
"1","15261","Miller Woods Pond 21",41.61189,-87.27349,1.5,-38,67,-8,1,0,7,131,7,3,0,1,0,3,0,0,0,0,0,1,0,2,3,0,0,1,0,0,0,1,1,0,1,2,0,4,1,1,121,3,4,0,119,5,1,1,2,0,19
"2","15261","Miller Woods Pond 21",41.61189,-87.27349,10,11,474,159,1,4,7,185,3,3,0,2,0,1,1,0,3,1,0,0,0,5,0,0,2,1,0,0,1,0,0,0,0,0,1,5,0,1,38,1,1,0,76,3,9,0,0,0,4
"3","15261","Miller Woods Pond 21",41.61189,-87.27349,20,132,778,380,2,2,2,48,4,9,0,7,0,5,1,0,1,0,0,0,2,8,0,0,2,0,1,0,1,0,4,0,0,11,14,26,0,7,275,2,0,3,136,0,13,0,0,3,10
"4","15261","Miller Woods Pond 21",41.61189,-87.27349,25,204,919,490,3,1,1,4,1,4,0,1,1,5,0,0,0,0,0,0,0,6,0,0,2,0,1,1,0,0,0,1,0,16,24,124,0,3,23,21,0,1,109,0,4,0,0,5,0
"5","15261","Miller Woods Pond 21",41.61189,-87.27349,30,281,1055,600,1,0,3,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,16,4,223,0,3,7,43,0,3,23,0,1,0,0,2,0
"6","15261","Miller Woods Pond 21",41.61189,-87.27349,35,360,1190,711,3,0,3,6,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,57,0,2,5,13,0,0,15,0,1,0,0,1,1
"7","15261","Miller Woods Pond 21",41.61189,-87.27349,40,444,1315,821,1,0,2,6,1,0,0,2,0,1,0,0,0,1,0,0,1,5,0,0,1,0,1,0,0,0,1,0,0,1,13,130,0,9,16,2,0,1,118,0,1,0,0,2,1
"8","15261","Miller Woods Pond 21",41.61189,-87.27349,50,620,1566,1043,3,0,1,1,1,0,0,2,0,1,0,0,0,0,0,0,0,11,0,0,1,0,0,0,1,1,0,0,0,10,19,132,0,12,23,3,0,0,104,0,6,0,0,1,0
"9","15261","Miller Woods Pond 21",41.61189,-87.27349,60,805,1803,1265,2,1,0,5,5,5,0,1,0,1,0,0,0,0,0,0,3,7,0,0,1,0,1,0,0,0,2,0,0,5,14,90,0,4,10,2,0,0,168,0,4,0,0,1,1
"10","15261","Miller Woods Pond 21",41.61189,-87.27349,70,1004,2032,1485,3,0,5,6,3,3,0,1,0,14,0,3,0,0,0,0,9,1,0,0,1,0,1,0,0,0,3,0,1,41,10,103,0,4,11,1,0,1,103,0,1,1,0,4,5
"11","15261","Miller Woods Pond 21",41.61189,-87.27349,82,1254,2293,1750,4,1,0,9,1,3,0,5,0,7,0,0,0,0,0,0,1,6,0,0,3,6,0,0,0,0,1,0,0,35,18,83,0,5,17,2,0,0,111,0,5,0,0,0,6
"12","15261","Miller Woods Pond 21",41.61189,-87.27349,87,1357,2404,1859,1,4,3,7,4,1,0,4,0,8,2,0,0,0,1,0,5,5,0,0,3,0,0,0,0,0,3,0,1,48,13,98,0,7,30,3,0,4,113,0,2,0,0,2,7
"13","15261","Miller Woods Pond 21",41.61189,-87.27349,91,1430,2507,1944,5,0,2,5,0,1,0,1,0,6,0,1,0,0,0,0,1,1,0,0,2,1,0,0,0,1,2,0,0,44,2,152,0,3,7,1,1,2,82,0,1,0,0,1,2
"14","15261","Miller Woods Pond 21",41.61189,-87.27349,95,1496,2611,2026,10,1,2,5,0,4,0,4,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,1,19,4,124,0,5,5,2,1,5,112,0,4,1,0,3,7
