"","dataset.id","site.name","lat","long","depth","age.young","age.old","age","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae subf. Asteroideae","Asteraceae subf. Cichorioideae","Betula","Botrychium","Campanulaceae undiff.","Carya","Celtis","Cephalanthus","Cornus","Corylus","Fagus","Fraxinus","Juglans","Liquidambar","Lycopodiaceae undiff.","Osmundaceae.undiff.","Ostrya/Carpinus","Persicaria","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undiff.","Plantago","Platanus","Poaceae undiff.","Polygalaceae","Polypodiaceae undiff.","Pteridium","Quercus","Rumex/Oxyria","Salix","Tilia","Tsuga","Ulmus"
"1","15265","Miller Woods Pond 44",41.604275,-87.293135,23,196,887,472,1,0,8,81,1,3,0,5,2,0,0,1,2,4,0,1,0,2,2,0,0,0,0,0,0,3,1,9,1,3,208,0,2,2,122,2,4,0,0,9
"2","15265","Miller Woods Pond 44",41.604275,-87.293135,30,301,1094,636,5,1,7,40,0,3,0,4,4,1,0,2,3,1,0,0,1,3,1,0,1,2,2,1,0,9,3,81,0,7,111,0,15,6,113,0,8,0,2,3
"3","15265","Miller Woods Pond 44",41.604275,-87.293135,40,477,1362,870,1,0,1,5,0,1,0,4,0,0,0,4,0,2,0,0,0,3,0,0,0,0,1,1,0,13,9,110,0,1,74,0,38,4,55,0,0,0,0,1
"4","15265","Miller Woods Pond 44",41.604275,-87.293135,60,859,1852,1340,6,3,1,7,0,3,1,0,2,0,1,5,1,0,0,0,2,4,1,0,0,0,0,0,1,35,7,170,0,1,92,1,12,5,61,0,1,1,2,1
"5","15265","Miller Woods Pond 44",41.604275,-87.293135,80,1288,2309,1811,4,0,2,6,0,2,0,0,2,0,0,3,0,1,0,0,0,1,0,0,0,1,0,0,0,40,10,204,0,3,47,0,8,1,32,0,0,0,1,2
"6","15265","Miller Woods Pond 44",41.604275,-87.293135,82,1343,2344,1857,3,1,5,6,0,1,0,6,6,0,0,8,0,1,0,0,14,4,1,0,0,0,6,0,0,25,14,42,0,4,576,0,1,1,150,0,0,0,1,7
"7","15265","Miller Woods Pond 44",41.604275,-87.293135,87,1460,2451,1975,5,1,0,10,1,3,0,4,6,0,0,10,0,0,2,0,6,7,4,0,0,0,4,0,0,30,8,38,0,4,605,0,3,0,169,0,1,0,0,11
"8","15265","Miller Woods Pond 44",41.604275,-87.293135,97,1694,2646,2208,2,0,2,10,0,3,1,2,5,0,0,12,0,0,0,0,7,12,6,0,0,0,6,0,1,32,18,29,0,5,342,0,6,4,152,0,3,0,1,5
"9","15265","Miller Woods Pond 44",41.604275,-87.293135,104.5,1852,2815,2381,2,0,1,3,0,4,0,5,2,0,0,3,0,0,0,0,2,5,4,1,0,0,1,0,0,24,12,107,0,3,14,0,3,0,114,0,2,1,0,11
"10","15265","Miller Woods Pond 44",41.604275,-87.293135,107,1901,2874,2431,1,1,0,6,0,2,0,3,0,0,0,3,0,0,0,0,0,1,1,1,0,0,1,0,1,24,3,154,0,1,6,0,13,2,23,0,0,0,1,5
