"","dataset.id","site.name","lat","long","depth","age.young","age.old","age","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae subf. Asteroideae","Asteraceae subf. Cichorioideae","Betula","Carya","Celtis","Cephalanthus","Corylus","Fabaceae undiff.","Fagus","Fraxinus","Ilex","Juglans","Juniperus","Lamiaceae undiff.","Liquidambar","Morus","Nyssa","Ophioglossum","Osmundaceae.undiff.","Ostrya/Carpinus","Persicaria","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undiff.","Plantago","Platanus","Poaceae undiff.","Polypodiaceae undiff.","Populus","Portulacaceae","Pteridium","Quercus","Rosaceae undiff.","Rumex/Oxyria","Salix","Sarcobatus","Thalictrum","Tilia","Tsuga","Ulmus","Viburnum","Vitis"
"1","15268","Miller Woods Pond 51",41.603005,-87.285365,1.5,-38,68,-7,1,1,2,113,0,6,2,1,5,1,2,20,0,2,1,6,0,0,0,0,0,0,2,0,0,1,1,0,2,1,4,1,2,192,1,3,2,0,170,0,0,9,0,1,0,0,8,0,0
"2","15268","Miller Woods Pond 51",41.603005,-87.285365,10,11,483,161,1,1,4,86,1,3,7,0,5,1,3,4,2,0,4,6,0,3,0,0,0,1,0,0,0,6,1,1,1,4,15,1,3,194,7,1,0,1,136,0,8,3,0,0,0,1,8,1,0
"3","15268","Miller Woods Pond 51",41.603005,-87.285365,20,131,788,381,1,4,2,89,0,6,1,2,5,6,1,1,0,0,3,7,0,2,0,1,0,1,0,0,0,8,0,0,5,3,10,1,6,189,7,1,1,1,136,0,3,3,1,0,0,1,9,0,0
"4","15268","Miller Woods Pond 51",41.603005,-87.285365,30,278,1067,601,2,1,4,77,0,2,4,0,9,10,0,3,3,0,5,4,1,1,0,0,2,0,0,0,0,11,1,0,6,6,15,0,4,160,2,0,3,1,131,1,1,4,0,0,0,2,11,0,0
"5","15268","Miller Woods Pond 51",41.603005,-87.285365,40,440,1329,822,2,3,2,9,0,5,3,0,5,10,0,2,0,0,6,6,0,2,0,0,1,1,0,0,0,6,1,0,9,8,37,0,2,211,4,2,0,2,155,0,0,6,0,1,0,2,18,0,0
"6","15268","Miller Woods Pond 51",41.603005,-87.285365,50,612,1580,1045,1,4,1,14,0,5,6,0,5,6,1,1,0,0,9,5,0,5,0,0,0,0,0,0,1,1,0,0,7,13,34,0,1,221,1,0,0,1,174,0,0,2,0,0,1,2,11,0,0
"7","15268","Miller Woods Pond 51",41.603005,-87.285365,60,796,1820,1269,5,1,1,10,0,2,3,0,2,11,0,0,1,0,11,3,1,3,0,0,0,0,2,0,0,2,0,0,17,13,29,0,4,225,2,0,0,2,175,0,0,1,0,0,0,1,6,0,0
"8","15268","Miller Woods Pond 51",41.603005,-87.285365,70,990,2060,1492,5,1,1,11,1,2,3,0,10,4,0,1,0,0,8,7,0,2,1,0,0,0,0,0,0,5,0,0,12,9,21,0,0,195,5,1,0,0,188,0,0,0,0,1,0,1,7,0,0
"9","15268","Miller Woods Pond 51",41.603005,-87.285365,80,1180,2285,1713,6,0,1,4,0,3,2,0,8,4,0,0,0,0,9,4,0,5,1,0,0,0,0,0,0,1,0,0,12,28,37,0,4,246,5,0,0,0,172,0,0,1,0,0,0,2,3,0,0
"10","15268","Miller Woods Pond 51",41.603005,-87.285365,88,1349,2459,1891,3,1,2,6,0,3,7,0,8,12,1,1,1,0,9,6,0,2,0,0,1,0,1,1,2,3,0,0,19,16,28,0,1,227,4,0,0,1,178,0,0,0,0,1,1,1,7,0,1
"11","15268","Miller Woods Pond 51",41.603005,-87.285365,100,1590,2725,2159,5,1,0,6,0,5,5,0,7,14,0,1,0,0,10,8,0,2,0,0,0,0,0,0,0,1,0,0,9,22,40,0,2,232,0,0,0,1,168,0,0,2,0,0,0,0,8,0,0
"12","15268","Miller Woods Pond 51",41.603005,-87.285365,110,1801,2940,2382,1,1,2,15,1,6,3,0,3,7,0,2,0,0,10,4,0,10,0,0,0,0,0,0,0,2,0,0,12,8,45,0,2,203,6,1,0,1,169,0,0,1,0,0,1,0,4,0,0
"13","15268","Miller Woods Pond 51",41.603005,-87.285365,120,2012,3149,2604,5,3,1,9,0,3,5,0,4,11,2,1,0,1,2,2,0,4,0,0,0,0,0,0,0,7,0,1,8,18,35,0,3,212,1,1,0,0,168,0,0,0,0,0,3,0,16,0,0
"14","15268","Miller Woods Pond 51",41.603005,-87.285365,130,2236,3351,2823,1,5,2,4,1,6,4,0,7,10,0,0,0,0,6,2,0,4,0,0,0,0,0,0,0,1,1,0,14,12,63,0,3,128,8,0,0,0,178,0,0,0,0,0,0,1,9,0,0
"15","15268","Miller Woods Pond 51",41.603005,-87.285365,140,2454,3551,3041,1,1,1,4,0,2,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,176,0,0,3,23,0,0,1,19,0,0,2,0,0,0,0,0,0,0
