"","dataset.id","site.name","lat","long","depth","age.young","age.old","age","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Araliaceae","Artemisia","Asteraceae subf. Asteroideae","Betula","Carya","Castanea","Ceanothus/Rhamnus","Celtis","Cephalanthus","Cladium","Clethra","Cornus","Corylus","Cupressaceae undiff.","Dryopteris","Ericaceae undiff.","Fabaceae undiff.","Fagus","Fraxinus","Gentiana","Gymnocarpium","Humulus/Cannabis","Huperzia","Hypericum","Ilex","Iva","Juglans","Lamiaceae undiff.","Linnaea","Liquidambar","Lycopodiaceae undiff.","Moraceae undiff.","Myrica","Nyssa","Osmundaceae.undiff.","Ostrya/Carpinus","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undiff.","Plantago","Platanus","Poaceae undiff.","Populus","Pteridium","Quercus","Ranunculus","Rhus","Rosaceae undiff.","Rumex/Oxyria","Salix","Sapindaceae undiff.","Secale","Thalictrum","Tilia","Trifolium","Tsuga","Ulmus","Urticaceae"
"1","14997","Round Pond",41.97078,-70.010335,1,-55,-42,-47,1,6,2,18,0,0,5,41,5,1,0,0,0,0,0,0,3,2,2,2,0,5,0,1,0,0,0,0,1,0,1,0,0,1,1,0,27,1,2,2,5,18,5,383,38,0,7,0,1,138,0,0,0,6,0,0,0,0,0,0,7,3,0
"2","14997","Round Pond",41.97078,-70.010335,2,-52,-36,-42,4,5,2,17,0,0,0,28,0,1,0,0,0,0,1,0,2,2,0,2,0,5,3,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,3,5,0,3,2,313,24,0,4,0,2,103,0,0,1,6,1,0,0,0,0,0,6,1,1
"3","14997","Round Pond",41.97078,-70.010335,4,-50,-21,-31,1,6,1,23,0,1,2,38,6,0,0,0,0,0,0,0,4,1,2,3,0,5,5,0,0,0,0,0,0,0,2,0,0,0,1,0,34,0,1,2,3,12,1,288,34,0,10,0,4,99,0,0,0,20,0,0,1,0,0,0,7,0,0
"4","14997","Round Pond",41.97078,-70.010335,6,-38,5,-8,3,7,0,17,0,1,2,53,6,3,0,0,0,0,1,0,0,6,2,3,0,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,40,0,2,0,4,17,0,336,21,0,14,0,7,102,0,1,0,25,0,0,1,0,0,0,17,4,0
"5","14997","Round Pond",41.97078,-70.010335,8,-26,50,26,4,4,0,24,0,0,0,32,4,0,0,1,0,0,0,0,5,0,0,2,0,5,1,0,0,1,0,0,1,0,0,0,0,1,4,0,20,0,3,2,8,1,3,304,21,0,12,0,2,77,0,1,0,12,1,0,2,0,0,0,12,2,0
"6","14997","Round Pond",41.97078,-70.010335,10,-16,97,61,2,8,0,5,0,1,0,41,4,3,0,0,1,0,0,0,3,2,1,1,0,6,2,0,0,0,0,0,1,0,0,0,0,0,1,0,35,0,4,3,2,7,3,268,26,1,3,0,7,64,0,0,0,9,0,0,2,0,0,1,14,5,0
"7","14997","Round Pond",41.97078,-70.010335,12,43,192,116,1,6,0,4,0,1,0,45,7,3,0,0,0,0,0,0,7,6,2,0,0,11,1,0,2,0,0,0,1,0,1,0,0,0,0,0,37,1,1,4,5,15,4,318,49,0,2,1,10,66,0,0,0,5,1,0,0,0,0,0,20,3,0
"8","14997","Round Pond",41.97078,-70.010335,14,70,319,174,3,1,0,6,0,0,1,53,5,1,0,0,0,0,2,0,3,4,0,4,0,10,1,0,0,0,0,0,1,0,0,0,0,1,0,0,47,0,0,1,8,25,7,333,30,1,5,0,11,80,0,0,0,12,0,0,0,0,0,0,11,2,0
"9","14997","Round Pond",41.97078,-70.010335,16,108,403,231,2,6,0,6,0,1,1,43,2,1,0,0,0,0,1,0,3,0,1,2,0,9,1,0,0,0,0,0,1,0,2,0,0,0,0,0,48,1,2,6,2,6,5,332,30,3,2,1,7,88,0,0,0,1,0,0,0,0,0,0,32,2,0
"10","14997","Round Pond",41.97078,-70.010335,18,139,461,289,7,5,0,2,0,1,4,32,3,3,0,0,0,0,0,0,5,4,3,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,2,8,3,9,3,287,32,2,2,0,14,105,0,0,1,2,0,0,0,0,1,0,12,2,0
