"","dataset.id","site.name","lat","long","depth","age.young","age.old","age","Abies","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Apiaceae","Arceuthobium","Artemisia","Asteraceae subf. Asteroideae","Asteraceae subf. Cichorioideae","Betula","Carya","Caryophyllaceae undiff.","Castanea","Corylus","Cystopteris","Ericaceae undiff.","Fagus","Fraxinus","Hamamelis","Ilex","Juniperus","Larix","Lycopodiaceae undiff.","Osmundaceae.undiff.","Ostrya/Carpinus","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undiff.","Poaceae undiff.","Polypodiaceae undiff.","Populus","Pteridium","Quercus","Rosaceae undiff.","Rumex/Oxyria","Salix","Sambucus","Thalictrum","Tilia","Tsuga","Ulmus","Viburnum"
"1","14684","Schoodic Peninsula Hollow",44.37328,-68.0726,12,39,312,148,4.5,1,15,0,4,0,0,0,7,0,82,0,0,0,0,0,0,1,4,0,4,1,0,0,6,0,66,0,18.5,0,32,6,2,5,5,4,0,0,0,0,0,5,0,3
"2","14684","Schoodic Peninsula Hollow",44.37328,-68.0726,14,62,354,182,6,1,10,0,4,0,0,0,0,2,102,0,0,0,0,0,3,3,0,0,3,0,0,1,10,0,94.5,1,20.5,0,10,2,0,0,1,3,0,0,0,3,0,13,1,4
"3","14684","Schoodic Peninsula Hollow",44.37328,-68.0726,16,132,415,235,9.5,4,15,0,2,0,0,0,0,1,166,1,0,1,0,0,0,5,0,0,2,0,0,7,15,0,37.5,1,49.5,1,0,21,1,0,4,9,0,0,0,0,0,16,1,0
"4","14684","Schoodic Peninsula Hollow",44.37328,-68.0726,17,163,472,276,6,4,19,0,1,2,0,0,0,0,164,0,0,0,0,0,1,4,2,0,2,1,0,6,7,1,60.5,0,24,0,2,13,0,0,2,9,0,0,0,0,0,4,0,2
"5","14684","Schoodic Peninsula Hollow",44.37328,-68.0726,18,183,551,313,0,0,3,0,0,0,0,0,0,0,266,0,0,0,0,0,1,2,1,0,1,0,0,2,4,0,37,0,13.5,0,0,1,0,0,2,5,0,0,0,0,0,9,0,0
"6","14684","Schoodic Peninsula Hollow",44.37328,-68.0726,19,197,650,350,8.5,2,13,0,1,1,0,1,5,0,168,0,0,0,0,0,0,0,2,0,4,0,0,3,8,0,49,0,20.5,1,17,5,0,0,0,3,2,0,0,0,0,12,1,3
"7","14684","Schoodic Peninsula Hollow",44.37328,-68.0726,20,208,754,384,4.5,5,12,0,1,0,0,0,4,0,122,0,0,0,0,0,1,0,1,0,0,2,0,2,2,2,57,0,12,0,9,9,0,1,4,3,0,0,2,0,0,6,1,0
"8","14684","Schoodic Peninsula Hollow",44.37328,-68.0726,21,289,913,520,5,0,3,0,0,0,0,0,0,0,74,0,0,0,1,0,0,2,0,0,0,0,0,1,4,0,34.5,0,16,0,0,1,2,0,1,2,0,0,0,0,0,4,0,2
"9","14684","Schoodic Peninsula Hollow",44.37328,-68.0726,22,327,1175,644,5.5,1,9,0,0,0,0,0,0,0,57,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,21.5,0,11,0,1,0,0,0,6,0,0,0,0,0,0,2,0,1
"10","14684","Schoodic Peninsula Hollow",44.37328,-68.0726,23,355,1497,762,2.5,2,12,0,0,0,0,0,0,0,100,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,42.5,0,8.5,3,5,0,0,6,3,0,0,0,0,0,0,5,1,3
