"","dataset.id","site.name","lat","long","depth","age.young","age.old","age","Abies","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Aquifoliaceae undiff.","Artemisia","Asteraceae undiff.","Betula","Carya","Castanea","Corylus","Cupressaceae undiff.","Ericaceae undiff.","Fagus","Fraxinus","Juglans","Larix","Myricaceae undiff.","Nyssa","Ostrya/Carpinus","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Plantago","Platanus","Poaceae undiff.","Populus","Quercus","Rumex/Oxyria","Salix","Tilia","Tsuga","Ulmus"
"1","GS8","Stockton Bog",46.927372,-90.557034,10.5,-29,26,-3,11,15,17,7,18,0,0,8,207,2,0,1,1,0,0,8,1,2,1,0,7,39,46,61,0,0,6,3,21,0,2,0,5,5
"2","GS8","Stockton Bog",46.927372,-90.557034,15.5,-14,37,12,3,4,14,13,32,0,5,1,67,0,0,0,2,2,0,1,0,1,3,0,4,18,65,21,1,0,9,0,25,1,3,3,4,5
"3","GS8","Stockton Bog",46.927372,-90.557034,20.5,5,48,27,4,12,23,14,62,1,6,15,91,0,0,2,1,5,0,8,1,0,0,0,3,11,51,16,0,3,30,3,11,6,2,0,14,9
"4","GS8","Stockton Bog",46.927372,-90.557034,50.5,122,452,230,2,9,14,4,12,0,3,5,95,1,0,0,2,3,0,4,0,0,1,0,2,9,72,151,2,0,6,2,10,0,1,0,2,8
"5","GS8","Stockton Bog",46.927372,-90.557034,55.5,146,515,269,6,1,6,1,2,1,6,2,71,0,0,1,1,2,0,1,0,1,0,1,6,7,71,160,0,0,0,0,10,0,0,1,13,3
"6","GS8","Stockton Bog",46.927372,-90.557034,60.5,170,577,308,5,9,17,1,1,0,6,1,135,0,0,0,2,3,0,1,0,2,1,0,6,15,62,92,0,1,6,0,14,0,0,0,13,1
"7","GS8","Stockton Bog",46.927372,-90.557034,65.5,197,637,347,3,7,28,0,3,0,3,2,125,0,0,0,1,9,0,1,2,0,0,0,1,8,57,156,0,0,0,0,11,0,2,1,21,3
"8","GS8","Stockton Bog",46.927372,-90.557034,70.5,224,700,386,0,3,9,0,3,0,6,0,105,0,0,0,0,2,0,0,0,1,0,0,11,6,74,135,0,0,4,0,11,0,1,0,11,0
"9","GS8","Stockton Bog",46.927372,-90.557034,75.5,251,759,425,3,2,16,1,4,0,0,0,82,0,0,0,2,6,0,1,0,2,1,0,14,8,47,184,0,0,2,0,9,0,1,0,12,5
"10","GS8","Stockton Bog",46.927372,-90.557034,80.5,279,818,464,10,7,34,1,9,0,6,5,201,0,0,1,8,33,0,1,0,4,0,0,16,15,177,237,0,5,14,0,22,0,0,2,47,12
"11","GS8","Stockton Bog",46.927372,-90.557034,85.5,307,878,503,5,6,13,4,4,0,5,5,124,0,0,0,0,11,1,1,0,1,2,0,4,13,59,159,0,0,2,0,19,0,0,2,26,4
"12","GS8","Stockton Bog",46.927372,-90.557034,90.5,336,937,541,4,3,13,2,6,0,5,1,148,0,0,0,0,44,0,1,0,4,0,0,3,21,43,148,0,1,3,1,13,0,1,0,31,5
"13","GS8","Stockton Bog",46.927372,-90.557034,95.5,367,996,578,3,3,4,3,7,0,5,2,144,0,0,3,2,0,0,1,0,0,0,0,7,9,71,107,0,1,0,4,13,0,0,1,19,2
"14","GS8","Stockton Bog",46.927372,-90.557034,100.5,399,1054,613,2,4,7,1,3,1,2,0,135,0,0,1,7,1,0,1,0,2,0,0,3,9,53,116,0,0,2,0,6,0,0,0,37,2
"15","GS8","Stockton Bog",46.927372,-90.557034,104.5,427,1107,648,5,2,8,1,4,0,6,5,125,0,0,0,11,6,1,1,0,3,0,0,8,12,42,105,0,1,4,0,12,0,1,1,30,1
