"","dataset.id","site.name","lat","long","depth","age.young","age.old","age","Abies","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Artemisia","Asteraceae subf. Asteroideae","Betula","Carya","Castanea","Clethra","Cornus","Corylus","Cupressaceae undiff.","Epilobium","Ericaceae subf. Monotropoideae","Ericaceae undiff.","Fabaceae undiff.","Fagus","Fraxinus","Hamamelis","Ilex","Iva","Juglans","Larix","Lycopodiaceae undiff.","Myricaceae undiff.","Osmundaceae.undiff.","Ostrya/Carpinus","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Plantago","Platanus","Poaceae undiff.","Polygonaceae undiff.","Populus","Pteridium","Quercus","Rosaceae undiff.","Rubiaceae undiff.","Rumex/Oxyria","Salix","Sambucus","Thalictrum","Tilia","Tsuga","Ulmus","Viburnum"
"1","GS9","The Bowl",44.33712,-68.193395,1,-47,31,-22,3,4,18,0,4,1,2,107,1,1,0,0,0,10,0,0,2,0,6,3,0,1,0,0,0,0,27,3,1,18,7.5,66.5,1,0,7,0,0,3,18,1,0,1,0,0,0,0,10,1,1
"2","GS9","The Bowl",44.33712,-68.193395,2,-43,97,-5,4,8,22,0,9,0,0,71,0,0,0,0,0,2,0,0,2,0,9,5,0,4,0,0,0,2,16,1,0,10,3.5,66.5,0,1,13,1,1,3,31,0,0,0,2,0,1,0,9,3,2
"3","GS9","The Bowl",44.33712,-68.193395,4,-37,233,31,1,10,21,0,7,0,1,83,0,0,0,0,0,8,0,0,2,0,7,3,0,3,0,0,0,2,29,1,0,11,10,62,0,0,10,0,0,2,24,0,0,3,1,0,0,0,6,1,2
"4","GS9","The Bowl",44.33712,-68.193395,5,-35,301,49,2,7,33,0,10,0,3,97,0,3,0,0,0,15,0,0,0,0,5,5,0,1,0,0,0,0,14,2,0,10,4.5,55.5,0,1,8,0,0,2,28,0,0,0,1,0,0,0,18,1,1
"5","GS9","The Bowl",44.33712,-68.193395,7,-11,352,97,4,6,24,0,9,1,1,90,0,0,0,0,0,13,0,0,0,0,7,5,0,1,0,1,0,0,11,0,1,15,3.5,68.5,2,0,13,0,0,2,27,0,0,0,3,0,0,0,8,2,1
"6","GS9","The Bowl",44.33712,-68.193395,10,6,479,163,2,3,41,0,7,1,3,103,0,0,0,0,0,11,0,0,2,0,10,9,0,3,0,0,0,1,14,1,0,16,1.5,70.5,0,3,10,0,0,2,23,0,0,7,2,0,0,0,8,3,1
"7","GS9","The Bowl",44.33712,-68.193395,15,65,628,280,2,2,39,2,9,0,0,93,1,1,0,0,0,10,0,0,0,0,9,3,0,2,0,0,0,1,8,0,1,14,6.5,76.5,0,0,17,0,2,5,25,0,0,5,1,0,0,0,10,2,0
"8","GS9","The Bowl",44.33712,-68.193395,20,138,771,396,3,1,46,1,7,1,1,114,1,2,0,0,0,19,0,0,0,0,11,2,0,0,0,0,0,0,11,0,1,8,2.5,67.5,0,1,12,0,0,7,24,0,0,3,0,0,0,0,5,1,1
"9","GS9","The Bowl",44.33712,-68.193395,23,195,837,467,5,6,33,0,0,1,0,99,0,1,0,0,0,5,0,0,1,0,17,6,0,0,0,0,0,1,14,0,2,15,5,53,0,2,3,0,0,4,19,0,0,1,0,0,1,0,9,1,0
"10","GS9","The Bowl",44.33712,-68.193395,25,219,903,514,2,4,35,0,1,0,0,89,2,0,0,0,0,10,0,0,0,0,7,2,0,1,0,0,0,0,10,1,0,26,2,62,0,0,5,0,0,8,20,0,0,3,1,0,0,1,14,1,0
"11","GS9","The Bowl",44.33712,-68.193395,27,264,941,562,3,7,22,0,3,0,2,108,1,3,0,0,0,12,0,0,1,0,16,6,0,2,0,0,0,0,7,0,1,16,6,68,0,0,4,0,1,1,33,0,0,1,1,0,0,0,17,3,0
"12","GS9","The Bowl",44.33712,-68.193395,30,307,1026,633,1,1,13,0,1,1,0,110,3,0,0,0,0,14,0,0,0,0,12,4,0,1,0,0,0,0,6,1,0,14,5.5,64.5,0,1,0,0,0,2,22,0,0,2,0,0,0,0,22,1,0
"13","GS9","The Bowl",44.33712,-68.193395,35,397,1143,753,2,6,13,0,0,0,1,101,2,0,0,0,1,11,0,0,0,0,11,6,0,1,0,0,0,0,15,2,0,15,12.5,74.5,0,1,1,0,2,1,21,0,0,0,0,0,0,0,22,1,0
"14","GS9","The Bowl",44.33712,-68.193395,40,498,1254,870,2,6,14,2,0,0,0,111,1,1,0,0,0,18,0,0,0,0,16,4,0,4,0,0,0,1,10,0,1,8,15,75,0,0,1,0,0,0,22,0,0,0,0,0,0,0,17,3,0
"15","GS9","The Bowl",44.33712,-68.193395,45,605,1359,989,0,5,19,2,0,0,0,113,1,0,0,0,0,7,0,0,0,0,24,6,0,0,0,0,0,1,12,0,1,15,10,49,0,1,1,0,1,0,18,0,0,0,1,0,0,0,25,1,0
"16","GS9","The Bowl",44.33712,-68.193395,50,719,1464,1108,1,5,21,0,1,0,1,127,1,0,0,0,1,13,0,0,0,0,21,3,0,1,0,1,0,0,5,0,3,3,6,56,0,1,1,0,0,0,17,0,0,0,0,0,0,0,21,1,0
"17","GS9","The Bowl",44.33712,-68.193395,55,839,1564,1228,0,7,20,0,0,1,0,129,1,1,0,0,1,10,0,0,0,0,20,7,0,2,0,0,0,2,11,0,2,8,2.5,39.5,0,0,2,0,0,1,26,0,0,0,0,0,0,0,20,4,1
"18","GS9","The Bowl",44.33712,-68.193395,60,968,1663,1342,1,1,26,0,2,0,1,111,1,0,0,0,0,9,0,0,2,0,26,6,0,0,0,0,0,2,8,0,2,13,0,67,0,0,2,0,2,1,19,0,0,0,0,0,0,0,26,0,0
"19","GS9","The Bowl",44.33712,-68.193395,63,1063,1717,1406,2,5,29,0,0,3,1,104,1,1,0,0,1,5,0,0,0,0,32,2,0,3,0,0,0,0,9,0,2,12,6,41,0,0,1,0,0,0,23,0,0,0,1,0,0,1,44,4,1
"20","GS9","The Bowl",44.33712,-68.193395,64,1086,1739,1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","GS9","The Bowl",44.33712,-68.193395,65,1104,1767,1452,2,4,24,0,0,1,1,114,3,1,0,0,0,11,0,0,2,0,24,3,0,0,0,0,0,0,20,0,0,5,0,48,0,0,2,0,0,4,21,0,0,0,2,0,0,1,40,0,0
"22","GS9","The Bowl",44.33712,-68.193395,68,1181,1827,1519,3,3,11,0,0,0,2,179,0,0,0,0,0,5,0,0,0,0,27,8,0,0,0,0,0,0,9,0,2,7,5.5,51.5,0,0,1,0,0,1,25,0,0,0,1,0,0,0,45,4,0
"23","GS9","The Bowl",44.33712,-68.193395,70,1217,1891,1560,1,7,12,0,1,1,1,126,0,0,0,0,0,8,0,0,1,0,24,3,0,0,0,0,0,0,10,1,4,5,7.5,50.5,1,2,0,0,1,4,27,0,0,0,0,0,0,0,39,2,0
"24","GS9","The Bowl",44.33712,-68.193395,73,1292,1952,1625,3,7,10,0,0,2,1,161,0,0,0,0,0,9,0,0,1,0,38,2,1,0,0,0,0,0,10,0,2,6,3,49,0,0,0,0,0,0,29,0,0,0,0,0,0,1,42,1,1
"25","GS9","The Bowl",44.33712,-68.193395,75,1329,2009,1667,0,8,11,0,0,0,3,146,0,0,0,0,0,9,0,0,10,0,32,5,0,1,0,1,0,0,0,0,2,5,1.5,47.5,0,0,1,0,0,1,21,0,0,0,1,0,0,0,28,2,0
"26","GS9","The Bowl",44.33712,-68.193395,80,1437,2125,1773,0,4,6,0,0,0,0,145,1,0,0,0,1,6,0,0,2,0,21,3,0,2,0,0,0,0,5,0,1,1,2,67,0,2,0,0,0,0,19,0,0,0,0,0,0,0,54,3,0
"27","GS9","The Bowl",44.33712,-68.193395,85,1541,2236,1880,2,9,9,0,1,2,0,136,2,0,0,0,0,12,0,0,0,0,24,8,0,1,0,1,0,1,5,0,5,5,2.5,48.5,0,0,0,0,0,0,28,0,0,0,0,0,0,0,39,1,1
"28","GS9","The Bowl",44.33712,-68.193395,90,1643,2345,1986,0,8,7,0,1,0,2,127,0,0,0,0,0,9,0,0,0,0,29,5,0,2,0,0,0,1,3,0,2,4,3.5,70.5,0,1,1,0,1,1,27,0,0,0,0,0,0,0,36,2,0
