"sample.id","age"
1,4
2,48
3,92
4,135
5,201
6,223
7,289
8,333
9,399
10,443
11,508
12,552
13,617
14,662
15,726
16,769
17,833
18,876
19,951
20,978
21,1005
22,1033
23,1062
24,1090
25,1119
26,1147
27,1176
28,1205
29,1233
30,1262
31,1290
32,1319
33,1349
34,1377
35,1406
36,1434
37,1463
38,1493
39,1522
40,1551
41,1580
42,1610
43,1640
44,1670
45,1700
46,1730
47,1753
48,1774
49,1795
50,1834
51,1875
52,1895
53,1934
54,1974
55,2033
56,2073
57,2133
58,2174
59,2233
60,2273
61,2331
62,2370
63,2428
64,2467
65,2526
66,2564
67,2623
68,2662
69,2720
70,2760
71,2819
72,2828
73,2857
74,2866
75,2915
76,2925
77,2953
78,2963
79,3011
80,3020
81,3049
82,3059
83,3087
84,3116
85,3153
86,3210
87,3249
88,3305
89,3343
90,3379
91,3399
92,3420
93,3442
94,3466
95,3490
96,3514
97,3539
98,3564
99,3589
100,3639
101,3690
102,3766
103,3816
104,3841
105,3866
106,3892
107,3918
108,3943
109,4019
110,4069
111,4145
112,4170
113,4195
114,4269
115,4319
116,4395
117,4455
118,4488
119,4521
120,4552
121,4585
122,4618
123,4716
124,4749
125,4782
126,4881
127,4915
128,4947
129,4981
130,5015
131,5048
132,5081
133,5114
134,5213
135,5246
136,5280
137,5313
138,5346
139,5378
140,5410
141,5443
142,5475
143,5509
144,5541
145,5572
146,5605
147,5636
148,5668
149,5700
150,5732
151,5762
152,5794
153,5826
154,5891
155,5955
156,5987
157,6052
158,6115
159,6178
160,6243
161,6308
162,6340
163,6373
164,6405
165,6434
166,6463
167,6488
168,6512
169,6536
170,6559
171,6603
172,6648
173,6716
174,6761
175,6783
176,6806
177,6829
178,6851
179,6874
180,6897
181,6919
182,6941
183,6985
184,7050
185,7090
