"sample.id","age"
1,1183
2,1345
3,1425
4,1547
5,1667
6,1749
7,1830
8,1913
9,1995
10,2079
11,2162
12,2248
13,2334
14,2422
15,2512
16,2606
17,2702
18,2751
19,2853
20,2959
21,3071
22,3184
23,3299
24,3416
25,3533
26,3651
27,3769
28,3830
29,3948
30,4069
31,4187
32,4307
33,4430
34,4556
35,4684
36,4812
37,4941
38,5071
39,5200
40,5329
41,5458
42,5587
43,5716
44,5845
45,5974
46,6103
47,6232
48,6363
49,6504
50,6648
51,6790
52,6934
53,7078
54,7223
55,7369
56,7515
57,7661
58,7808
59,7952
60,8091
61,8217
62,8338
63,8457
64,8574
65,8810
66,8928
67,9045
68,9164
69,9280
70,9397
71,9512
72,9630
73,9709
