"sample.id","age"
1,-43
2,17
3,61
4,90
5,131
6,159
7,223
8,270
9,340
10,388
11,460
12,509
13,581
14,629
15,701
16,749
17,821
18,869
19,962
20,1017
21,1102
22,1160
23,1247
24,1304
25,1391
26,1436
27,1500
28,1564
29,1663
30,1730
31,1832
32,1900
33,2003
34,2073
35,2173
36,2233
37,2323
38,2384
39,2414
40,2523
41,2584
42,2676
43,2736
44,2830
45,2898
46,3010
47,3083
48,3199
49,3275
50,3394
51,3474
52,3593
53,3673
54,3794
55,3833
56,3872
57,3911
58,3950
59,3994
60,4016
61,4039
62,4059
63,4081
64,4104
65,4149
66,4216
67,4307
68,4332
69,4451
70,4570
71,4686
72,4792
73,4897
74,5003
75,5118
76,5219
77,5327
78,5513
79,5856
80,6000
81,6217
82,6368
83,6592
84,6741
85,6917
86,6949
87,7185
88,7340
89,7497
90,7658
91,7818
92,8152
93,8490
94,8656
95,8827
96,9171
97,9511
98,9672
