"sample.id","age"
1,-52
2,-14
3,33
4,76
5,137
6,230
7,403
8,600
9,797
10,996
11,1201
12,1412
13,1616
14,1815
15,2008
16,2183
17,2312
18,2439
19,2565
20,2693
21,2822
22,2952
23,3081
24,3211
25,3338
26,3467
27,3600
28,3731
29,3857
30,3962
31,4033
32,4102
33,4173
34,4244
35,4316
36,4388
37,4459
38,4532
39,4605
40,4678
41,4752
42,4826
43,4900
44,4972
45,5046
46,5119
47,5191
48,5266
49,5340
50,5414
51,5487
52,5560
53,5632
54,5703
55,5774
56,5857
57,5915
58,5963
59,6014
60,6067
61,6119
62,6173
63,6235
64,6303
65,6377
66,6458
67,6546
68,6631
69,6715
70,6800
71,6885
72,6968
73,7049
74,7139
75,7241
76,7340
77,7446
78,7553
79,7660
80,7769
81,7878
82,7985
83,8096
84,8208
85,8316
86,8426
87,8535
88,8645
89,8756
90,8865
91,8972
92,9080
93,9190
94,9299
95,9382
96,9465
97,9546
98,9628
99,9709
100,9791
101,9873
102,9956
103,10037
104,10120
105,10203
106,10284
107,10365
108,10447
109,10527
110,10609
111,10692
112,10775
113,10863
114,10954
115,11039
116,11129
117,11218
118,11311
119,11410
120,11509
121,11637
122,11719
123,11871
124,12155
125,12360
126,12459
127,13156
128,13538
129,13778
130,14054
131,14107
132,14181
133,14253
134,14323
135,14392
136,14462
137,14534
138,14606
139,14676
140,14749
141,14822
142,14967
143,15039
144,15110
