"sample.id","age"
1,-22
2,-5
3,31
4,49
5,97
6,163
7,280
8,396
9,467
10,514
11,562
12,633
13,753
14,870
15,989
16,1108
17,1228
18,1342
19,1406
20,1452
21,1519
22,1560
23,1625
24,1667
25,1773
26,1880
27,1986
28,2090
29,2151
30,2193
31,2296
32,2403
33,2512
34,2578
35,2621
36,2641
37,2707
38,2793
39,2880
40,2965
41,3051
42,3126
43,3161
44,3194
45,3227
46,3261
47,3296
48,3332
49,3351
50,3370
51,3389
52,3408
53,3451
54,3493
55,3579
56,3666
57,3754
58,3844
59,3932
60,4020
61,4109
62,4197
63,4284
64,4378
65,4446
66,4492
67,4538
68,4632
69,4728
70,4822
71,4917
72,5013
73,5062
74,5110
75,5157
76,5206
77,5254
78,5303
79,5351
80,5399
81,5448
82,5497
83,5545
84,5593
85,5690
86,5788
87,5835
88,5884
89,5934
90,5983
91,6032
92,6081
93,6130
94,6179
95,6227
96,6277
97,6375
98,6472
99,6569
100,6665
101,6785
102,6880
103,6975
104,7069
105,7166
106,7264
107,7360
108,7458
109,7555
110,7653
111,7751
112,7849
113,7945
114,8042
115,8092
116,8139
117,8190
118,8239
119,8341
120,8442
121,8492
122,8543
123,8596
124,8645
